cf_id,cf_title,cd_date,cf_time,cf_qnum,cf_year,cf_ticker
4394051,Christopher & Banks Corporation (CBKC) CEO Keri Jones on Q3 2020 Results - Earnings Call Transcript,12/10/2020,8:30:00,3,2020,CBKC
,,,,,,
4394041,TUI AG (TUIFF) CEO Friedrich Joussen on Q1 2021 Results - Earnings Call Transcript,12/10/2020,3:00:00,1,2021,TUIFF
,,,,,,
4394039,"J.Jill, Inc. (JILL) CEO Jim Scully on Q3 2020 Results - Earnings Call Transcript",12/10/2020,8:00:00,3,2020,JILL
,,,,,,
4393997,RH's (RH) CEO Gary Friedman on Q3 2020 Results - Earnings Call Transcript,12/9/2020,17:00:00,3,2020 Results,RH
,,,,,,
4393966,"Enzo Biochem, Inc. (ENZ) Q1 2021 Results - Earnings Call Transcript",12/9/2020,16:30:00,1,2021,ENZ
,,,,,,
4393961,"Mesa Air Group, Inc.'s (MESA) CEO Jonathan Ornstein on Q4 2020 Results - Earnings Call Transcript",12/9/2020,16:30:00,4,2020 Results,MESA
,,,,,,
4393959,Evertz Technologies Limited (EVTZF) Q2 2021 Results - Earnings Call Transcript,12/9/2020,17:00:00,2,2021,EVTZF
,,,,,,
4393958,Genasys Inc. (GNSS) CEO Richard Danforth on Q4 2020 Results - Earnings Call Transcript,12/9/2020,16:30:00,4,2020,GNSS
,,,,,,
4393956,"nCino, Inc. (NCNO) CEO Pierre Naude on Q3 2021 Results - Earnings Call Transcript",12/9/2020,16:30:00,3,2021,NCNO
,,,,,,
4393955,"Oxford Industries, Inc. (OXM) CEO Tom Chubb on Q3 2020 Results - Earnings Call Transcript",12/9/2020,16:30:00,3,2020,OXM
,,,,,,
4393954,"North West Company, Inc. (NNWWF) CEO Edward Kennedy on Q3 2020 Results - Earnings Call Transcript",12/9/2020,14:30:00,3,2020,NNWWF
,,,,,,
4393949,Verint Systems Inc. (VRNT) CEO Dan Bodner on Q3 2020 Results - Earnings Call Transcript,12/9/2020,16:30:00,3,2020,VRNT
,,,,,,
4393933,Dollarama Inc. (DLMAF) CEO Neil Rossy on Q3 2021 Results - Earnings Call Transcript,12/9/2020,10:30:00,3,2021,DLMAF
,,,,,,
4393928,"Powell Industries, Inc. (POWL) CEO Brett Cope on Q4 2020 Results - Earnings Call Transcript",12/9/2020,11:00:00,4,2020,POWL
,,,,,,
4393729,GameStop Corp. (GME) CEO George Sherman on Q3 2020 Results - Earnings Call Transcript,12/8/2020,17:00:00,3,none,GME
,,,,,,
4393726,"AeroVironment, Inc.'s (AVAV) CEO Wahid Nawabi on Q2 2021 Results - Earnings Call Transcript",12/8/2020,16:30:00,2,2021,AVAV
,,,,,,
4393708,Oil-Dri Corporation of America (ODC) CEO Dan Jaffee on Q1 2021 Results - Earnings Call Transcript,12/8/2020,10:30:00,1,2021,ODC
,,,,,,
4393704,"AutoZone, Inc. (AZO) CEO William Rhodes on Q1 2021 Results - Earnings Call Transcript",12/8/2020,10:00:00,1,2021,AZO
,,,,,,
4393701,"Star Group, L.P. (SGU) CEO Jeff Woosnam on Q4 2020 Results - Earnings Call Transcript",12/8/2020,11:00:00,4,2020,SGU
,,,,,,
4393694,"Conn's, Inc. (CONN) CEO Norm Miller on Q3 2021 Results - Earnings Call Transcript",12/8/2020,11:00:00,3,2021,CONN
,,,,,,
4393687,"John Wiley & Sons, Inc. (JW.A) CEO Brian Napack on Q2 2021 Results - Earnings Call Transcript",12/8/2020,10:00:00,2,2021,JW.A
,,,,,,
4393678,"G-III Apparel Group, Ltd. (GIII) CEO Morris Goldfarb on Q3 2021 Results - Earnings Call Transcript",12/8/2020,8:30:00,3,2021,GIII
,,,,,,
4393663,Brown-Forman Corporation (BF.B) CEO Lawson Whiting on Q2 2021 Results - Earnings Call Transcript,12/8/2020,10:00:00,2,none,BF.B
,,,,,,
4393662,"Toll Brothers, Inc. (TOL) CEO Douglas Yearley on Q4 2020 Results - Earnings Call Transcript",12/8/2020,11:00:00,4,2020 Results,TOL
,,,,,,
4393652,"Alico, Inc. (ALCO) CEO John Kiernan on Q4 2020 Results - Earnings Call Transcript",12/8/2020,8:30:00,4,2020,ALCO
,,,,,,
4393645,"Liquidity Services, Inc. (LQDT) CEO William Angrick on Q4 2020 Results - Earnings Call Transcript",12/8/2020,10:30:00,4,2020,LQDT
,,,,,,
4393632,Cantel Medical Corp. (CMD) CEO George Fotiades on Q1 2021 Results - Earnings Call Transcript,12/8/2020,8:30:00,1,2021,CMD
,,,,,,
4393631,"Barnes & Noble Education, Inc. (BNED) CEO Mike Huseby on Q2 2021 Results - Earnings Call Transcript",12/8/2020,8:30:00,2,2021,BNED
,,,,,,
4393624,"Casey's General Stores, Inc. (CASY) CEO Darren Rebelez on Q2 2021 Results - Earnings Call Transcript",12/8/2020,8:30:00,2,2021,CASY
,,,,,,
4393617,"RYB Education, Inc. (RYB) CEO Yanlai Shi on Q3 2020 Results - Earnings Call Transcript",12/8/2020,8:00:00,3,2020,RYB
,,,,,,
4393601,Ashtead Group plc (ASHTF) CEO Brendan Horgan on Q2 2021 Results - Earnings Call Transcript,12/8/2020,5:00:00,2,2021,ASHTF
,,,,,,
4393507,"Stitch Fix, Inc. (SFIX) CEO Katrina Lake on Q1 2021 Results - Earnings Call Transcript",12/7/2020,17:00:00,1,2021,SFIX
,,,,,,
4393501,MedMen Enterprises Inc.'s (MMNFF) CEO Tom Lynch on Q1 2021 Results - Earnings Call Transcript,12/7/2020,17:00:00,1,2021 Results,MMNFF
,,,,,,
4393494,Smartsheet Inc. (SMAR) CEO Mark Mader on Q3 2021 Results - Earnings Call Transcript,12/7/2020,16:30:00,3,2021,SMAR
,,,,,,
4393467,"HealthEquity, Inc. (HQY) CEO Jon Kessler on Q3 2021 Results - Earnings Call Transcript",12/7/2020,16:30:00,3,2021,HQY
,,,,,,
4393459,DLH Holdings Corp.'s (DLHC) CEO Zach Parker on Q4 2020 Results - Earnings Call Transcript,12/7/2020,11:00:00,4,2020,DLHC
,,,,,,
4393388,"JinkoSolar Holding Co., Ltd. (JKS) CEO Kangping Chen on Q3 2020 Results - Earnings Call Transcript",12/7/2020,7:30:00,3,2020 Results,JKS
,,,,,,
4393377,"LightInTheBox Holding Co., Ltd.'s (LITB) CEO Jian He on Q3 2020 Results - Earnings Call Transcript",12/7/2020,8:00:00,3,2020,LITB
,,,,,,
4393364,"AstroNova, Inc. (ALOT) CEO Greg Woods on Q3 2021 Results - Earnings Call Transcript",12/7/2020,9:00:00,3,none,ALOT
,,,,,,
4393332,Huazhu Group Limited (HTHT) CEO Ji Qi on Q3 2020 Results - Earnings Call Transcript,12/6/2020,20:00:00,3,2020,HTHT
,,,,,,
4393144,Afya Limited (AFYA) CEO Virgilio Gibbon on Q3 2020 Results - Earnings Call Transcript,12/4/2020,10:00:00,3,none,AFYA
,,,,,,
4393139,"Culp, Inc. (CULP) CEO Iv Culp on Q2 2021 Results - Earnings Call Transcript",12/4/2020,11:00:00,2,2021,CULP
,,,,,,
4393052,"Big Lots, Inc. (BIG) CEO Bruce Thorn on Q3 2020 Results - Earnings Call Transcript",12/4/2020,8:00:00,3,2020,BIG
,,,,,,
4393040,Genesco Inc. (GCO) CEO Mimi Vaughn on Q3 2021 Results - Earnings Call Transcript,12/4/2020,8:30:00,3,2021,GCO
,,,,,,
4393037,"MIND Technology, Inc.'s (MIND) CEO Rob Capps on Q3 2021 Results - Earnings Call Transcript",12/4/2020,9:00:00,3,2021 Results,MIND
,,,,,,
4393034,"RGC Resources, Inc. (RGCO) CEO Paul Nester on Q4 2020 Results - Earnings Call Transcript",12/4/2020,9:00:00,4,2020,RGCO
,,,,,,
4392970,Zumiez Inc. (ZUMZ) CEO Rick Brooks on Q3 2020 Results - Earnings Call Transcript,12/3/2020,17:00:00,3,2020 Results,ZUMZ
,,,,,,
4392969,"Medallia, Inc. (MDLA) CEO Leslie Stretch on Q3 2021 Results - Earnings Call Transcript",12/3/2020,16:30:00,3,2021,MDLA
,,,,,,
4392938,"Cloudera, Inc. (CLDR) CEO Rob Bearden on Q3 2021 Results - Earnings Call Transcript",00-00-00,0:00:00,none,none,none
,,,,,,
4392936,"DocuSign, Inc. (DOCU) CEO Dan Springer on Q3 2021 Results - Earnings Call Transcript",12/3/2020,16:30:00,3,2021,DOCU
,,,,,,
4392935,"PagerDuty, Inc. (PD) CEO Jennifer Tejada on Q3 2021 Results - Earnings Call Transcript",12/3/2020,17:00:00,3,2021,PD
,,,,,,
4392932,"Domo, Inc. (DOMO) CEO Joshua James on Q3 2021 Results - Earnings Call Transcript",12/3/2020,17:00:00,3,2021,DOMO
,,,,,,
4392930,"The Cooper Companies, Inc. (COO) CEO Al White on Q4 2020 Results - Earnings Call Transcript",12/3/2020,17:00:00,4,2020,COO
,,,,,,
4392927,"Zuora, Inc. (ZUO) CEO Tien Tzuo on Q3 2021 Results - Earnings Call Transcript",12/3/2020,17:00:00,3,2021 Results,ZUO
,,,,,,
4392925,"Smith & Wesson Brands, Inc. (SWBI) CEO Mark Smith on Q2 2021 Results - Earnings Call Transcript",12/3/2020,17:00:00,2,2021,SWBI
,,,,,,
4392919,"Ulta Beauty, Inc.'s (ULTA) CEO Mary Dillon on Q3 2020 Results - Earnings Call Transcript",12/3/2020,17:00:00,3,2020 Results,ULTA
,,,,,,
4392917,Marvell Technology Group Ltd. (MRVL) CEO Matt Murphy on Q3 2021 Results - Earnings Call Transcript,12/3/2020,16:45:00,3,2021,MRVL
,,,,,,
4392915,"Altigen Communications, Inc. (ATGN) CEO Jerry Fleming on Q4 2020 Results - Earnings Call Transcript",12/3/2020,17:00:00,4,2020,ATGN
,,,,,,
4392913,"Yext, Inc. (YEXT) CEO Howard Lerman on Q3 2021 Results - Earnings Call Transcript",12/3/2020,16:30:00,3,2021,YEXT
,,,,,,
4392911,"Tilly's, Inc. (TLYS) CEO Ed Thomas on Q3 2020 Results - Earnings Call Transcript",12/3/2020,16:30:00,3,2020,TLYS
,,,,,,
4392903,IDT Corporation's (IDT) CEO Shmuel Jonas on Q1 2021 Results - Earnings Call Transcript,12/3/2020,17:30:00,1,2021,IDT
